Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Deliverable Volume,%Deliverble
BAJAJ-AUTO,1541,1557,1564.65,1470,1474.95,1476.5,1499.5,982492,577454,0.5877
BAJAJ-AUTO,1476.5,1479,1484.8,1420.65,1433.05,1429.8,1436.34,1781719,1036859,0.5819
BAJAJ-AUTO,1429.8,1430,1430,1368.3,1380,1374.5,1388.79,1518567,936532,0.6167
BAJAJ-AUTO,1374.5,1383.2,1391.25,1321.7,1324.5,1327.85,1337.2,2462539,1330644,0.5404
BAJAJ-AUTO,1327.85,1330,1352,1302,1311,1316.6,1320.4,2314796,1184020,0.5115
BAJAJ-AUTO,1316.6,1327.9,1331.85,1256,1266.4,1261.75,1291.65,1396888,629472,0.4506
BAJAJ-AUTO,1261.75,1273,1321,1273,1320.5,1305.7,1297.5,1530693,895982,0.5853
BAJAJ-AUTO,1305.7,1316,1322.5,1265,1285,1286.95,1283.13,1263340,709596,0.5617
BAJAJ-AUTO,1286.95,1292,1310,1277.45,1282.05,1286.55,1295.14,633826,277560,0.4379
BAJAJ-AUTO,1286.55,1286.1,1295.2,1237.2,1250,1246.8,1264.39,582403,287849,0.4942
BAJAJ-AUTO,1246.8,1244,1276,1223.45,1276,1268.4,1252.12,563657,277251,0.4919
BAJAJ-AUTO,1268.4,1270.25,1299,1267.2,1298,1294.7,1282.64,508333,275244,0.5415
BAJAJ-AUTO,1294.7,1293,1325,1275,1323.95,1321.8,1303.55,2156558,974197,0.4517
BAJAJ-AUTO,1321.8,1322.1,1340,1287.6,1302.45,1300.2,1307.17,1113436,493306,0.443
BAJAJ-AUTO,1300.2,1302,1329.3,1295.3,1313,1313.3,1314.53,739175,491322,0.6647
BAJAJ-AUTO,1313.3,1327,1338.7,1305.05,1309.4,1307.35,1311.32,262029,136379,0.5205
BAJAJ-AUTO,1307.35,1315,1320.1,1286.5,1300,1294.35,1306.06,335407,176477,0.5262
BAJAJ-AUTO,1294.35,1310,1318.4,1275,1279,1286.15,1301.6,816579,535091,0.6553
BAJAJ-AUTO,1286.15,1289,1289,1245,1261,1260.65,1261.02,476550,279245,0.586
BAJAJ-AUTO,1260.65,1250,1263.8,1165.65,1257,1245.95,1239.95,444674,218644,0.4917
BAJAJ-AUTO,1245.95,1269.6,1274.4,1236,1250,1246.1,1248.21,387073,271294,0.7009
BAJAJ-AUTO,1246.1,1254,1262,1205,1208,1214.3,1239.05,644948,361143,0.56
BAJAJ-AUTO,1214.3,1214,1229.8,1201.2,1210.5,1209.55,1215.14,663136,367900,0.5548
BAJAJ-AUTO,1209.55,1214,1250,1212,1221.5,1226.8,1236.5,796378,422172,0.5301
BAJAJ-AUTO,1226.8,1230,1233.4,1204.4,1221,1217.8,1217.35,197837,63721,0.3221
BAJAJ-AUTO,1217.8,1230,1254,1212.1,1239.9,1239.2,1240.15,501472,241208,0.481
BAJAJ-AUTO,1239.2,1226,1231.15,1190,1205.2,1204.15,1203.05,819790,522706,0.6376
BAJAJ-AUTO,1204.15,1190,1228.3,1190,1213,1209.9,1208.36,482022,315948,0.6555
BAJAJ-AUTO,1209.9,1200,1269,1200,1257.9,1255.9,1235.05,441480,230600,0.5223
BAJAJ-AUTO,1255.9,1265,1304.9,1261.35,1298.1,1298.5,1287.73,451725,270773,0.5994
BAJAJ-AUTO,1298.5,1307.4,1558.15,1291.9,1325.6,1328.1,1321.62,1026155,616244,0.6005
BAJAJ-AUTO,1328.1,1335,1350,1318,1329.05,1332.1,1333.13,267440,129416,0.4839
BAJAJ-AUTO,1332.1,1335,1359.2,1330.05,1350.25,1351.25,1348.23,499086,309479,0.6201
BAJAJ-AUTO,1351.25,1351.25,1362.9,1325.2,1342.5,1339.1,1343.31,1018163,853274,0.8381
BAJAJ-AUTO,1339.1,1330,1345,1322.85,1340.9,1335.75,1332.48,555142,399538,0.7197
BAJAJ-AUTO,1335.75,1336,1352.2,1321.1,1327.2,1329.8,1336.36,687636,473207,0.6882
BAJAJ-AUTO,1329.8,1326,1330,1304,1309,1307.2,1314.55,598564,433588,0.7244
BAJAJ-AUTO,1307.2,1306,1306,1255.3,1259.05,1264.3,1281.15,833565,558765,0.6703
BAJAJ-AUTO,1264.3,1292,1294.9,1245.25,1292,1282.25,1271.18,643336,381927,0.5937
BAJAJ-AUTO,1282.25,1285,1320,1258.5,1266,1269.15,1287.22,460075,190665,0.4144
BAJAJ-AUTO,1269.15,1276.7,1340,1276.7,1337.4,1335.5,1327.38,725413,403046,0.5556
BAJAJ-AUTO,1335.5,1335,1369,1324.45,1351.8,1350.1,1353.22,693914,413573,0.596
BAJAJ-AUTO,1350.1,1384.8,1389,1367.4,1375,1376.9,1379.25,828802,557625,0.6728
BAJAJ-AUTO,1376.9,1368,1374.9,1344.6,1370,1365.45,1363.72,391399,243383,0.6218
BAJAJ-AUTO,1365.45,1372,1396.5,1366.05,1392,1390.6,1390.35,429662,261477,0.6086
BAJAJ-AUTO,1390.6,1399,1419.9,1392,1415,1417.05,1408.98,696814,488098,0.7005
BAJAJ-AUTO,1417.05,1409.7,1413.15,1393.35,1404,1401.3,1402.03,216107,93540,0.4328
BAJAJ-AUTO,1401.3,1395,1401.3,1353,1370.3,1374.15,1374.22,235351,84196,0.3577
BAJAJ-AUTO,1374.15,1370.05,1392.9,1354,1380,1383.3,1371.27,419990,276347,0.658
BAJAJ-AUTO,1383.3,1354.1,1388,1341.15,1369.9,1365.95,1365.1,221618,92992,0.4196
BAJAJ-AUTO,1365.95,1381.85,1387.15,1366.1,1373.05,1372.35,1374.19,283084,175452,0.6198
BAJAJ-AUTO,1372.35,1362,1386,1350,1365.45,1358.95,1365.74,158326,68186,0.4307
BAJAJ-AUTO,1358.95,1368,1385,1350,1355,1358.35,1367.53,251842,125183,0.4971
BAJAJ-AUTO,1358.35,1358.5,1369.25,1342.55,1355,1355.5,1357.07,154595,63979,0.4138
BAJAJ-AUTO,1355.5,1361.9,1370,1356.25,1357,1362,1364.96,93168,32718,0.3512
BAJAJ-AUTO,1362,1363,1378.05,1348.9,1359.9,1359.95,1363.16,211796,118696,0.5604
BAJAJ-AUTO,1359.95,1362.55,1374.5,1346.75,1354.55,1354.45,1358.16,172216,85573,0.4969
BAJAJ-AUTO,1354.45,1370,1386.5,1351,1383,1381.2,1371.05,286138,188262,0.6579
BAJAJ-AUTO,1381.2,1390,1412.45,1385.05,1393.05,1402.6,1399.88,333428,174284,0.5227
BAJAJ-AUTO,1402.6,1400,1422,1400,1407.15,1406.9,1414.16,327406,193253,0.5903
BAJAJ-AUTO,1406.9,1419.9,1430,1407.1,1423.5,1420.95,1421.1,518724,364107,0.7019
BAJAJ-AUTO,1420.95,1433,1474,1421.9,1463.8,1463.25,1446.65,976586,632467,0.6476
BAJAJ-AUTO,1463.25,1478,1481.9,1448.05,1457.85,1458.95,1461.89,431413,290817,0.6741
BAJAJ-AUTO,1458.95,1472,1474.4,1440,1455,1456.95,1459.74,446712,288550,0.6459
BAJAJ-AUTO,1456.95,1458.7,1458.7,1433.75,1434.3,1438.15,1441.11,451815,294844,0.6526
BAJAJ-AUTO,1438.15,1440,1465,1435.95,1453,1451.6,1450.59,280888,152164,0.5417
BAJAJ-AUTO,1451.6,1459.95,1459.95,1436,1439,1440.25,1445.98,323494,240021,0.742
BAJAJ-AUTO,1440.25,1448.9,1450,1407.6,1415,1416.95,1422.03,371850,220938,0.5942
BAJAJ-AUTO,1416.95,1410,1410.1,1369.6,1385,1382.1,1383.34,307606,167120,0.5433
BAJAJ-AUTO,1382.1,1376,1404.95,1363,1400,1398.75,1389.73,443721,258645,0.5829
BAJAJ-AUTO,1398.75,1395.25,1425,1386.25,1414.9,1419.65,1404.69,208812,79054,0.3786
BAJAJ-AUTO,1419.65,1430,1453,1420.5,1436.05,1437.8,1437.37,451399,226127,0.5009
BAJAJ-AUTO,1437.8,1430.2,1460.95,1419.4,1459,1452.55,1439.9,469376,250748,0.5342
BAJAJ-AUTO,1452.55,1460,1479.4,1443,1472,1474.4,1462.82,306158,148484,0.485
BAJAJ-AUTO,1474.4,1480,1484.15,1460,1465,1465,1465.86,341855,249731,0.7305
BAJAJ-AUTO,1465,1465,1484.2,1463,1471.35,1477.7,1474.52,168382,101148,0.6007
BAJAJ-AUTO,1477.7,1477,1490,1452.6,1485.4,1485.6,1473.29,222698,126814,0.5694
BAJAJ-AUTO,1485.6,1489.9,1495,1466,1476.95,1474.45,1478.24,274411,182185,0.6639
BAJAJ-AUTO,1474.45,1476.55,1495,1470.95,1478,1477.7,1483.56,391248,236451,0.6044
BAJAJ-AUTO,1477.7,1473,1500.5,1450,1500,1474,1479.45,477427,277626,0.5815
BAJAJ-AUTO,1474,1478.3,1496.35,1425.25,1438,1440.55,1444.77,386419,199035,0.5151
BAJAJ-AUTO,1440.55,1426.15,1455,1357.25,1374,1367.15,1403.59,679514,403472,0.5938
BAJAJ-AUTO,1367.15,1362,1362,1287.45,1300,1303.35,1309.1,1205843,716526,0.5942
BAJAJ-AUTO,1303.35,1304,1313.55,1273.7,1280,1285.9,1292.56,745379,436693,0.5859
BAJAJ-AUTO,1285.9,1290,1325,1270,1318,1319,1303.95,446238,170875,0.3829
BAJAJ-AUTO,1319,1330,1341.8,1288.1,1291.3,1295.9,1308.68,323265,144835,0.448
BAJAJ-AUTO,1295.9,1297,1326.5,1283.35,1310.5,1310.85,1309.27,297707,139769,0.4695
BAJAJ-AUTO,1310.85,1315.8,1329.95,1299,1322.35,1319.25,1309.83,313478,159376,0.5084
